SA,DG,%N,%O,%S,%P,%B,CD,CAP,CONC
2024,3.1,0.86,7.37,,0.53,,20,196,6
2024,3.1,0.86,7.37,,0.53,,30,188,6
2024,3.1,0.86,7.37,,0.53,,40,183,6
2024,3.1,0.86,7.37,,0.53,,50,178,6
5.565,,,12.45,,4.56,,10,148.7,1
4.895,,,17.03,,4.93,,10,147.9,1
2.914,,,20.85,,6.45,,10,301.3,1
5.565,,,12.45,,4.56,,10,169,1
4.895,,,17.03,,4.93,,10,71.8,1
2.914,,,20.85,,6.45,,10,110.9,1
84.28,1.45,7.29,22.4,,0.39,,0.5,225,6
84.28,1.45,7.29,22.4,,0.39,,5,181.25,6
84.28,1.45,7.29,22.4,,0.39,,10,168.75,6
84.28,1.45,7.29,22.4,,0.39,,20,151,6
142.97,1.59,5.83,14.46,,0.46,,0.5,275,6
142.97,1.59,5.83,14.46,,0.46,,5,225,6
142.97,1.59,5.83,14.46,,0.46,,10,216.67,6
142.97,1.59,5.83,14.46,,0.46,,20,208.34,6
373.96,1.87,3.29,9.79,,0.44,,0.5,300,6
373.96,1.87,3.29,9.79,,0.44,,5,248,6
373.96,1.87,3.29,9.79,,0.44,,10,237.5,6
373.96,1.87,3.29,9.79,,0.44,,20,231.25,6
1022.4,1.12,10.1,11.3,,,6.5,1,265.3,1
1022.4,1.12,10.1,11.3,,,6.5,1.5,250.2,1
1022.4,1.12,10.1,11.3,,,6.5,2,240.2,1
1022.4,1.12,10.1,11.3,,,6.5,3,223.5,1
1022.4,1.12,10.1,11.3,,,6.5,4,210.4,1
1022.4,1.12,10.1,11.3,,,6.5,5,197,1
1022.4,1.12,10.1,11.3,,,6.5,10,148.6,1
1022.4,1.12,10.1,11.3,,,6.5,1,358.4,1
1022.4,1.12,10.1,11.3,,,6.5,1.5,312.8,1
1022.4,1.12,10.1,11.3,,,6.5,2,278.8,1
1022.4,1.12,10.1,11.3,,,6.5,3,267.4,1
1022.4,1.12,10.1,11.3,,,6.5,4,255.2,1
1022.4,1.12,10.1,11.3,,,6.5,5,233,1
1022.4,1.12,10.1,11.3,,,6.5,10,216.1,1
1022.4,1.12,10.1,11.3,,,6.5,1,504,1
1022.4,1.12,10.1,11.3,,,6.5,1.5,454.7,1
1022.4,1.12,10.1,11.3,,,6.5,2,429.4,1
1022.4,1.12,10.1,11.3,,,6.5,3,407.7,1
1022.4,1.12,10.1,11.3,,,6.5,4,387.6,1
1022.4,1.12,10.1,11.3,,,6.5,5,374,1
1022.4,1.12,10.1,11.3,,,6.5,10,337.6,1
949,1,4.31,,,,,1,180,1
826,1,4.73,,,,0.86,1,230,1
694,1,6.02,,,,1.15,1,310,1
641,1,7.8,,,,2.19,1,412,1
508,1.15,,8.1,,,0.82,0.5,200,6
555,1.11,,6.99,,,1.05,0.5,225,6
560,1.09,,6.12,,,1.36,0.5,234.275,6
585,0.98,,5.4,,,1.22,0.5,231.25,6
508,1.15,,8.1,,,0.82,5,162.5,6
555,1.11,,6.99,,,1.05,5,169,6
560,1.09,,6.12,,,1.36,5,206.25,6
585,0.98,,5.4,,,1.22,5,177,6
508,1.15,,8.1,,,0.82,20,112.5,6
555,1.11,,6.99,,,1.05,20,128,6
560,1.09,,6.12,,,1.36,20,156.25,6
585,0.98,,5.4,,,1.22,20,134.5,6
894,,7.1,14.7,,,8.4,0.1,268,6
726,,4.9,10.9,,,4.8,0.1,173,6
894,,7.1,14.7,,,8.4,0.25,235,6
726,,4.9,10.9,,,4.8,0.25,160,6
894,,7.1,14.7,,,8.4,0.5,216,6
726,,4.9,10.9,,,4.8,0.5,152,6
894,,7.1,14.7,,,8.4,1,158,6
726,,4.9,10.9,,,4.8,1,125,6
1158,0.86,,12.24,,,,0.5,256,1
1402,0.89,7.22,12.62,,,,0.5,316,1
1458,0.92,,12.85,,,1.22,0.5,367,1
933,0.95,9.38,11.54,,,3.87,0.5,402,1
1551,1.32,,8.85,,,4.25,1,277,6
1551,1.32,,8.85,,,4.25,100,185,6
446.62,,,6.13,,,,1,166.6,3
781.21,,,10.02,,,0.96,1,282,3
575.85,,,9.65,,,3.91,1,298.4,3
782.49,,,10.56,,,3.99,1,379.9,3
782.49,,,10.56,,,3.99,50,201,3
413.1,0.93,3.67,7.25,,0.49,,0.05,156.3,6
774.5,0.95,3.54,4.97,,0.5,1.5,0.05,221.2,6
894.8,0.98,5.29,5.65,,0.52,2.01,0.05,284.7,6
413.1,0.93,3.67,7.25,,0.49,,40,90.5,6
774.5,0.95,3.54,4.97,,0.5,1.5,40,157.1,6
894.8,0.98,5.29,5.65,,0.52,2.01,40,193.1,6
413.1,0.93,3.67,7.25,,0.49,,0.05,162.6,3
774.5,0.95,3.54,4.97,,0.5,1.5,0.05,275.1,3
894.8,0.98,5.29,5.65,,0.52,2.01,0.05,315.3,3
413.1,0.93,3.67,7.25,,0.49,,20,88.6,3
774.5,0.95,3.54,4.97,,0.5,1.5,20,214.5,3
894.8,0.98,5.29,5.65,,0.52,2.01,20,245.3,3
828,,1.36,8.11,,,,0.2,107,6
666,,2.16,9.89,,,1.94,0.2,106,6
813,,0.6,10.16,,,,0.2,102,6
994,,1.45,10.57,,,1.63,0.2,120,6
91,1.16,,10.9,,,4.7,0.5,172.5,6
91,1.16,,10.9,,,4.7,1,144.5,6
1208.7,1.25,4.4,15.9,,,,1,143.6,3
1208.7,1.25,4.4,15.9,,,,2,122,3
1208.7,1.25,4.4,15.9,,,,3,109.8,3
1208.7,1.25,4.4,15.9,,,,4,100,3
1208.7,1.25,4.4,15.9,,,,5,83.9,3
1503.7,1.08,2.8,21,,,4,1,285.6,3
1503.7,1.08,2.8,21,,,4,2,232.8,3
1503.7,1.08,2.8,21,,,4,3,225.3,3
1503.7,1.08,2.8,21,,,4,4,216,3
1503.7,1.08,2.8,21,,,4,5,200,3
801,,,9.11,,,,0.1,149,1
700,,9.66,8.1,,,,0.1,252,1
686,,14.3,10.21,,,,0.1,264.5,1
676,,17.89,12.89,,,,0.1,250,1
648,,12.41,9.88,,,3.97,0.1,306.25,1
928,1.49,4.71,7.67,,,0.13,1,197,6
1316,1.4,4.88,7.94,,,1.23,1,265,6
1567,1.37,4.99,8.52,,,3.47,1,313,6
1579,1.36,4.94,8.39,,,3.41,1,286,6
1072,1.27,5.33,10.5,,,3.19,1,234,6
773,1.56,2.62,4.97,,,2.87,1,199,6
1726,1.12,2.31,8.24,,,3.25,1,159,6
159,1.51,4.82,8.65,,,3.24,1,207,6
928,1.49,4.71,7.67,,,0.13,5,182,6
1316,1.4,4.88,7.94,,,1.23,5,249,6
1567,1.37,4.99,8.52,,,3.47,5,297,6
1579,1.36,4.94,8.39,,,3.41,5,269,6
1072,1.27,5.33,10.5,,,3.19,5,220,6
773,1.56,2.62,4.97,,,2.87,5,187,6
1726,1.12,2.31,8.24,,,3.25,5,112,6
159,1.51,4.82,8.65,,,3.24,5,198,6
928,1.49,4.71,7.67,,,0.13,10,170,6
1316,1.4,4.88,7.94,,,1.23,10,230,6
1567,1.37,4.99,8.52,,,3.47,10,274,6
1579,1.36,4.94,8.39,,,3.41,10,259,6
1072,1.27,5.33,10.5,,,3.19,10,205,6
773,1.56,2.62,4.97,,,2.87,10,179,6
1726,1.12,2.31,8.24,,,3.25,10,78,6
159,1.51,4.82,8.65,,,3.24,10,191,6
928,1.49,4.71,7.67,,,0.13,20,137,6
1316,1.4,4.88,7.94,,,1.23,20,208,6
1567,1.37,4.99,8.52,,,3.47,20,257,6
1579,1.36,4.94,8.39,,,3.41,20,234,6
1072,1.27,5.33,10.5,,,3.19,20,181,6
773,1.56,2.62,4.97,,,2.87,20,159,6
1726,1.12,2.31,8.24,,,3.25,20,73,6
159,1.51,4.82,8.65,,,3.24,20,167,6
928,1.49,4.71,7.67,,,0.13,40,101,6
1316,1.4,4.88,7.94,,,1.23,40,182,6
1567,1.37,4.99,8.52,,,3.47,40,243,6
1579,1.36,4.94,8.39,,,3.41,40,201,6
1072,1.27,5.33,10.5,,,3.19,40,142,6
773,1.56,2.62,4.97,,,2.87,40,122,6
1726,1.12,2.31,8.24,,,3.25,40,10,6
159,1.51,4.82,8.65,,,3.24,40,133,6
124,1.05,,,,,,1,145,6
1735,1.06,,,,,1.26,1,280,6
1252,1.11,3.51,,,,,1,305,6
1341,1.04,2.82,,,,1.26,1,330,6
47.8,0.77,,15.58,,,5.88,2,59,1
360,1.02,10.5,10.99,0.81,,5.56,0.5,200,6
360,1.02,10.5,10.99,0.81,,5.56,10,116.4,6
1224,1.55,2.15,9.56,,,0.65,0.5,572,2
829,1.82,,10.96,,,0.36,0.5,327,2
1091,1.52,1.35,8.62,,,,0.5,389,2
678.73,1.05,2.97,,,,,0.25,281.02,6
738.33,1.02,1.74,,,,0.69,0.25,201.91,6
734.01,0.98,2.08,,,,1.61,0.25,206.88,6
802.35,0.96,2.56,,,,2.19,0.25,254.83,6
678.73,1.05,2.97,,,,,0.5,213.8,6
738.33,1.02,1.74,,,,0.69,0.5,168.75,6
734.01,0.98,2.08,,,,1.61,0.5,188.51,6
802.35,0.96,2.56,,,,2.19,0.5,231.47,6
678.73,1.05,2.97,,,,,1,191.72,6
738.33,1.02,1.74,,,,0.69,1,157.48,6
734.01,0.98,2.08,,,,1.61,1,181.45,6
802.35,0.96,2.56,,,,2.19,1,222.13,6
678.73,1.05,2.97,,,,,2.5,176.26,6
738.33,1.02,1.74,,,,0.69,2.5,149.71,6
734.01,0.98,2.08,,,,1.61,2.5,170.16,6
802.35,0.96,2.56,,,,2.19,2.5,211.07,6
678.73,1.05,2.97,,,,,5,167.11,6
738.33,1.02,1.74,,,,0.69,5,145.31,6
734.01,0.98,2.08,,,,1.61,5,170.16,6
802.35,0.96,2.56,,,,2.19,5,211.07,6
678.73,1.05,2.97,,,,,10,159.18,6
738.33,1.02,1.74,,,,0.69,10,139.33,6
734.01,0.98,2.08,,,,1.61,10,166.84,6
802.35,0.96,2.56,,,,2.19,10,208.01,6
678.73,1.05,2.97,,,,,25,144.62,6
738.33,1.02,1.74,,,,0.69,25,133.74,6
734.01,0.98,2.08,,,,1.61,25,161.55,6
802.35,0.96,2.56,,,,2.19,25,203.89,6
678.73,1.05,2.97,,,,,50,135.01,6
738.33,1.02,1.74,,,,0.69,50,129.3,6
734.01,0.98,2.08,,,,1.61,50,160.43,6
802.35,0.96,2.56,,,,2.19,50,204.61,6
678.73,1.05,2.97,,,,,100,119.29,6
738.33,1.02,1.74,,,,0.69,100,120.51,6
734.01,0.98,2.08,,,,1.61,100,157.5,6
802.35,0.96,2.56,,,,2.19,100,199.34,6
1181,,2.26,,,,1.03,1,190,6
1181,,2.26,,,,1.03,10,137.5,6
799.6,1.67,21.45,,,,6.46,0.1,660.6,1
799.6,1.67,21.45,,,,6.46,20,131.5,1
880,1.02,7.3,11.6,,,6,0.2,360,6
880,1.02,7.3,11.6,,,6,100,232,6
1122.5,0.85,,5.7,,,,0.5,240.63,6
1122.5,0.85,,5.7,,,,1,228.13,6
1122.5,0.85,,5.7,,,,2,225,6
1122.5,0.85,,5.7,,,,5,215.63,6
1122.5,0.85,,5.7,,,,10,206.25,6
